Extra Small Onions (< 1 3/4 in),Small Onions (1 3/4 - 1 13/16 in),Medium Onions (1 13/16 - 1 7/8 in),Large Onions(1 7/8 in - 2 in),Extra Large Onions (+ 2 in),Latitude,Longitude,Speed (km/h),Time,Filename
6,0,0,0,0,45.17131,-73.35220,16.779120000000002,133127.0,E:/shal_lotH_1149_20191003/result_images/114934.png
14,0,0,0,0,45.17136,-73.35231,21.81656,133129.0,E:/shal_lotH_1149_20191003/result_images/114940.png
2,0,0,0,0,45.17162,-73.35272,29.33568,133135.0,E:/shal_lotH_1149_20191003/result_images/114948.png
2,0,0,0,0,45.17199,-73.35328,29.48384,133142.3,E:/shal_lotH_1149_20191003/result_images/114954.png
3,0,0,0,0,45.17230,-73.35377,31.42844,133148.5,E:/shal_lotH_1149_20191003/result_images/115000.png
8,0,0,0,0,45.17261,-73.35424,30.872840000000004,133154.5,E:/shal_lotH_1149_20191003/result_images/115006.png
1,0,0,0,0,45.17291,-73.35470,26.24284,133200.3,E:/shal_lotH_1149_20191003/result_images/115011.png
5,0,0,0,0,45.17312,-73.35502,16.1124,133206.1,E:/shal_lotH_1149_20191003/result_images/115017.png
9,0,0,0,0,45.17310,-73.35529,18.8904,133211.7,E:/shal_lotH_1149_20191003/result_images/115023.png
23,1,1,0,3,45.17283,-73.35562,23.20556,133218.1,E:/shal_lotH_1149_20191003/result_images/115030.png
8,1,0,0,1,45.17263,-73.35593,15.33456,133224.6,E:/shal_lotH_1149_20191003/result_images/115037.png
6,0,0,0,0,45.17279,-73.35635,21.05724,133232.2,E:/shal_lotH_1149_20191003/result_images/115044.png
6,0,0,0,0,45.17304,-73.35670,22.612920000000003,133238.7,E:/shal_lotH_1149_20191003/result_images/115050.png
15,0,0,0,0,45.17325,-73.35703,20.0942,133244.7,E:/shal_lotH_1149_20191003/result_images/115056.png
31,1,0,1,2,45.17320,-73.35745,26.18728,133250.3,E:/shal_lotH_1149_20191003/result_images/115103.png
20,0,1,1,1,45.17286,-73.35790,23.890800000000002,133257.6,E:/shal_lotH_1149_20191003/result_images/115111.png
23,2,1,0,2,45.17253,-73.35836,25.02052,133305.4,E:/shal_lotH_1149_20191003/result_images/115118.png
6,0,0,0,0,45.17219,-73.35882,23.22408,133313.0,E:/shal_lotH_1149_20191003/result_images/115126.png
3,0,0,0,0,45.17199,-73.35913,8.00064,133320.7,E:/shal_lotH_1149_20191003/result_images/115132.png
6,0,0,0,0,45.17201,-73.35932,10.51936,133327.2,E:/shal_lotH_1149_20191003/result_images/115139.png
0,0,0,0,0,45.17218,-73.35945,13.112160000000001,133333.4,E:/shal_lotH_1149_20191003/result_images/115145.png
3,0,0,0,0,45.17229,-73.35969,11.96392,133340.0,E:/shal_lotH_1149_20191003/result_images/115151.png
3,0,0,0,0,45.17223,-73.35996,13.07512,133346.1,E:/shal_lotH_1149_20191003/result_images/115157.png
3,0,0,0,0,45.17216,-73.36022,13.68628,133352.2,E:/shal_lotH_1149_20191003/result_images/115204.png
3,0,0,0,0,45.17207,-73.36048,13.50108,133358.4,E:/shal_lotH_1149_20191003/result_images/115210.png
6,0,0,0,0,45.17199,-73.36075,12.85288,133404.8,E:/shal_lotH_1149_20191003/result_images/115216.png
2,0,0,0,0,45.17191,-73.36103,12.5936,133411.2,E:/shal_lotH_1149_20191003/result_images/115223.png
4,0,0,0,0,45.17183,-73.36130,14.704880000000001,133417.4,E:/shal_lotH_1149_20191003/result_images/115229.png
5,0,0,0,0,45.17174,-73.36159,13.667760000000001,133423.7,E:/shal_lotH_1149_20191003/result_images/115235.png
13,0,0,0,0,45.17165,-73.36186,13.59368,133430.2,E:/shal_lotH_1149_20191003/result_images/115242.png
17,0,0,0,0,45.17156,-73.36210,11.96392,133436.4,E:/shal_lotH_1149_20191003/result_images/115248.png
7,0,0,0,1,45.17145,-73.36235,13.556640000000002,133442.9,E:/shal_lotH_1149_20191003/result_images/115255.png
5,0,0,0,0,45.17136,-73.36268,12.926960000000001,133450.2,E:/shal_lotH_1149_20191003/result_images/115302.png
8,0,0,0,0,45.17129,-73.36292,12.48248,133456.5,E:/shal_lotH_1149_20191003/result_images/115308.png
4,0,1,0,0,45.17123,-73.36311,4.27812,133502.5,E:/shal_lotH_1149_20191003/result_images/115314.png
8,0,1,0,0,45.17119,-73.36324,6.33384,133508.7,E:/shal_lotH_1149_20191003/result_images/115320.png
5,0,0,0,0,45.17116,-73.36332,2.55576,133514.8,E:/shal_lotH_1149_20191003/result_images/115326.png
1,0,0,0,0,45.17115,-73.36336,0.77784,133521.1,E:/shal_lotH_1149_20191003/result_images/115332.png
3,0,0,0,0,45.17118,-73.36343,8.18584,133526.7,E:/shal_lotH_1149_20191003/result_images/115338.png
4,0,0,0,0,45.17129,-73.36355,8.77848,133532.6,E:/shal_lotH_1149_20191003/result_images/115344.png
5,0,0,0,0,45.17142,-73.36365,8.6118,133538.8,E:/shal_lotH_1149_20191003/result_images/115350.png
2,1,0,0,0,45.17151,-73.36371,4.22256,133545.0,E:/shal_lotH_1149_20191003/result_images/115356.png
4,0,0,0,0,45.17155,-73.36375,2.9261600000000003,133551.2,E:/shal_lotH_1149_20191003/result_images/115402.png
3,0,0,0,0,45.17158,-73.36377,2.07424,133557.0,E:/shal_lotH_1149_20191003/result_images/115408.png
28,0,0,1,1,45.17160,-73.36379,1.0186000000000002,133602.8,E:/shal_lotH_1149_20191003/result_images/115414.png
22,0,0,1,11,45.17162,-73.36380,1.79644,133608.9,E:/shal_lotH_1149_20191003/result_images/115422.png
28,1,0,0,7,45.17166,-73.36378,1.74088,133616.3,E:/shal_lotH_1149_20191003/result_images/115429.png
26,2,3,1,16,45.17169,-73.36380,1.74088,133623.6,E:/shal_lotH_1149_20191003/result_images/115437.png
14,2,2,2,6,45.17172,-73.36382,2.4076000000000004,133631.7,E:/shal_lotH_1149_20191003/result_images/115445.png
41,0,0,2,10,45.17175,-73.36385,1.83348,133640.1,E:/shal_lotH_1149_20191003/result_images/115452.png
28,0,0,3,16,45.17178,-73.36387,1.8149600000000001,133646.8,E:/shal_lotH_1149_20191003/result_images/115501.png
14,1,0,1,3,45.17181,-73.36390,2.18536,133655.5,E:/shal_lotH_1149_20191003/result_images/115509.png
21,2,0,1,8,45.17186,-73.36392,2.5002000000000004,133703.3,E:/shal_lotH_1149_20191003/result_images/115515.png
31,2,1,2,10,45.17190,-73.36396,2.24092,133710.2,E:/shal_lotH_1149_20191003/result_images/115524.png
16,0,0,1,12,45.17194,-73.36399,2.778,133718.4,E:/shal_lotH_1149_20191003/result_images/115532.png
22,2,3,3,5,45.17198,-73.36402,2.55576,133726.6,E:/shal_lotH_1149_20191003/result_images/115539.png
11,1,0,1,19,45.17202,-73.36404,2.3890800000000003,133734.1,E:/shal_lotH_1149_20191003/result_images/115547.png
30,0,0,0,9,45.17206,-73.36407,2.79652,133741.3,E:/shal_lotH_1149_20191003/result_images/115554.png
28,1,3,2,12,45.17210,-73.36411,2.42612,133749.1,E:/shal_lotH_1149_20191003/result_images/115603.png
23,1,1,0,21,45.17215,-73.36415,3.12988,133757.5,E:/shal_lotH_1149_20191003/result_images/115611.png
13,1,2,1,4,45.17220,-73.36418,2.33352,133805.4,E:/shal_lotH_1149_20191003/result_images/115619.png
22,3,0,2,2,45.17224,-73.36421,2.6854,133813.6,E:/shal_lotH_1149_20191003/result_images/115625.png
22,0,1,3,14,45.17228,-73.36424,2.9632000000000005,133820.1,E:/shal_lotH_1149_20191003/result_images/115632.png
11,0,0,0,2,45.17232,-73.36427,2.5928,133827.2,E:/shal_lotH_1149_20191003/result_images/115641.png
23,2,3,0,2,45.17237,-73.36431,2.70392,133835.9,E:/shal_lotH_1149_20191003/result_images/115648.png
18,0,0,0,10,45.17241,-73.36434,2.79652,133842.6,E:/shal_lotH_1149_20191003/result_images/115655.png
29,0,0,1,9,45.17246,-73.36437,2.62984,133849.6,E:/shal_lotH_1149_20191003/result_images/115702.png
30,2,1,1,10,45.17250,-73.36440,2.70392,133856.9,E:/shal_lotH_1149_20191003/result_images/115710.png
10,1,1,1,1,45.17255,-73.36444,2.18536,133905.1,E:/shal_lotH_1149_20191003/result_images/115718.png
31,1,1,5,3,45.17259,-73.36446,2.75948,133912.4,E:/shal_lotH_1149_20191003/result_images/115725.png
23,0,1,0,3,45.17264,-73.36450,2.70392,133919.3,E:/shal_lotH_1149_20191003/result_images/115732.png
2,1,0,0,1,45.17269,-73.36454,2.88912,133927.1,E:/shal_lotH_1149_20191003/result_images/115739.png
6,1,0,1,1,45.17273,-73.36457,2.778,133933.6,E:/shal_lotH_1149_20191003/result_images/115745.png
34,0,0,0,11,45.17277,-73.36460,3.0002400000000002,133939.9,E:/shal_lotH_1149_20191003/result_images/115752.png
